Rule category,Rule name,Item,Name,Size (B)
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_0,45056
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_1,532480
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_2,2105344
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_3,8396800
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000001,34867
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000002,103144
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000004,389887
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000005,63299
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000006,173164
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000007,85228
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000008,74476
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000009,65536
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_00000a,100357
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_00000b,27293
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_00000c,73519
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_00000d,262144
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_00000f,131072
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000010,65536
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000011,37646
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000012,17741
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000013,80442
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000014,69385
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000015,59999
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000016,16598
Edge Chromium,Internet Cache,File,C:\Users\pc\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\f_000017,34139
